accession	Domain	Phylum	Class	Order	Family	Genus	Species
GB_GCA_002204705.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__B-DKE	s__B-DKE sp002204705
GB_GCA_002495625.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__Methanobacterium_A sp002495625
GB_GCA_002495885.1	d__Archaea	p__Halobacteriota	c__Methanocellia	o__Methanocellales	f__UBA148	g__UBA148	s__UBA148 sp002495885
GB_GCA_002839645.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus	s__Methanoculleus sp002839645
GB_GCA_003104905.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp003104905
GB_GCA_003331425.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp002690535
GB_GCA_003584625.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae_A	g__Methanothermobacter_A	s__Methanothermobacter_A sp003584625
GB_GCA_003662995.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__B5-G16	s__B5-G16 sp003662995
GB_GCA_004376295.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__BA1	g__SOJZ01	s__SOJZ01 sp004376295
GB_GCA_004377185.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__SOIM01	g__SOIM01	s__SOIM01 sp004377185
GB_GCA_008709555.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	s__Thermoplasma sp008709555
